text	result	texPattern	valuePattern	form
2009	2009	YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year	POINT
the year two-thousand	2000	the TIME_UNIT:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:$1	POINT
###	decade granularity
###	date_r13
the 90s	219	the DECADE:$0	Action:BasicModify Value:$0 TimeUnit:Decade TimeUnit:Century	POINT
the nineteen___nineties	199	the compDECADE:$0	Action:BasicModify Value:$0 TimeUnit:Decade	POINT
###	date_r14
the early 1990s	199	the PART_WORD compDECADE:$0	Action:BasicModify Value:$0 TimeUnit:Decade	POINT
the early 90s	219	the PART_WORD DECADE:$0	Action:BasicModify Value:$0 TimeUnit:Decade TimeUnit:Century	POINT
###	century granularity
###	granularity independent rules
###	date_r16
March	2121-03	MONTH:$0	Action:Modify* Enum:$0	POINT
early 2001	2001	PART_WORD YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year	POINT
the_beginning_of November 1999	1999-11	PART_WORD MONTH:$1 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:Modify* Enum:$1	POINT
the_middle_of September	2121-09	PART_WORD MONTH:$0	Action:Modify* Enum:$0	POINT
###	date_r17
next decade	P1DE	NEXT decade	Action:AddTo Value:1 TimeUnit:Decade	DURATION
the next decade	P1DE	the NEXT decade	Action:AddTo Value:1 TimeUnit:Decade	DURATION
last decade	P1DE	LAST decade	Action:AddTo Value:1 TimeUnit:Decade	DURATION
the last decade	P1DE	the LAST decade	Action:AddTo Value:1 TimeUnit:Decade	DURATION
this year	2121	THIS TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
the this year	2121	the THIS TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
next year	2122	NEXT TIME_UNIT:$0	Action:ToNext TimeUnit:$0	POINT
the next year	2122	the NEXT TIME_UNIT:$0	Action:ToNext TimeUnit:$0	POINT
last year	2120	LAST TIME_UNIT:$0	Action:ToLast TimeUnit:$0	POINT
the last year	2120	the LAST TIME_UNIT:$0	Action:ToLast TimeUnit:$0	POINT
this fiscal year	2121	THIS PART_WORD TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
next fiscal year	2122	NEXT PART_WORD TIME_UNIT:$0	Action:ToNext TimeUnit:$0	POINT
the next fiscal year	2122	the NEXT PART_WORD TIME_UNIT:$0	Action:ToNext TimeUnit:$0	POINT
the this fiscal year	2121	the THIS PART_WORD TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
this November	2121-11	THIS MONTH:$0	Action:Modify* Enum:$0	POINT
next November	2122-11	NEXT MONTH:$0	Action:ToNext TimeUnit:Year Action:Modify* Enum:$0	POINT
last November	2120-11	LAST MONTH:$0	Action:ToLast TimeUnit:Year Action:Modify* Enum:$0	POINT
the this November	2121-11	the THIS MONTH:$0	Action:Modify* Enum:$0	POINT
the next November	2122-11	the NEXT MONTH:$0	Action:ToNext TimeUnit:Year Action:Modify* Enum:$0	POINT
the last November	2120-11	the LAST MONTH:$0	Action:ToLast TimeUnit:Year Action:Modify* Enum:$0	POINT
this November 24	2121-11-24	THIS MONTH:$0 NUM:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
next November 24	2122-11-24	NEXT MONTH:$0 NUM:$1	Action:ToNext TimeUnit:Year Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
last November 24	2120-11-24	LAST MONTH:$0 NUM:$1	Action:ToLast TimeUnit:Year Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the this November 24	2121-11-24	the THIS MONTH:$0 NUM:$1	Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the next November 24	2122-11-24	the NEXT MONTH:$0 NUM:$1	Action:ToNext TimeUnit:Year Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
the last November 24	2120-11-24	the LAST MONTH:$0 NUM:$1	Action:ToLast TimeUnit:Year Action:Modify* Enum:$0 Action:BasicModify Value:$1 TimeUnit:Day	POINT
this Monday	2121-03-03	THIS WEEK:$0	Action:Modify* Enum:$0	POINT
next Monday	2121-03-10	NEXT WEEK:$0	Action:ToNext TimeUnit:Week Action:Modify* Enum:$0	POINT
last Monday	2121-02-24	LAST WEEK:$0	Action:ToLast TimeUnit:Week Action:Modify* Enum:$0	POINT
the this Monday	2121-03-03	the THIS WEEK:$0	Action:Modify* Enum:$0	POINT
the next Monday	2121-03-10	the NEXT WEEK:$0	Action:ToNext TimeUnit:Week Action:Modify* Enum:$0	POINT
the last Monday	2121-02-24	the LAST WEEK:$0	Action:ToLast TimeUnit:Week Action:Modify* Enum:$0	POINT
this summer	2121-SU	THIS SEASON:$0	Action:Modify* Enum:$0	POINT
next summer	2122-SU	NEXT SEASON:$0	Action:ToNext TimeUnit:Year Action:Modify* Enum:$0	POINT
last summer	2120-SU	LAST SEASON:$0	Action:ToLast TimeUnit:Year Action:Modify* Enum:$0	POINT
the this summer	2121-SU	the THIS SEASON:$0	Action:Modify* Enum:$0	POINT
the next summer	2122-SU	the NEXT SEASON:$0	Action:ToNext TimeUnit:Year Action:Modify* Enum:$0	POINT
the last summer	2120-SU	the LAST SEASON:$0	Action:ToLast TimeUnit:Year Action:Modify* Enum:$0	POINT
same year	2121	same TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
the same year	2121	the same TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
this same year	2121	this same TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
that same year	2121	that same TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
###	date_r18
early this year	2121	PART_WORD THIS TIME_UNIT:$0	Action:Equal TimeUnit:$0	POINT
